Data Compra;Pedido ID;Pack ID;Produto(s);Qtd Itens;Valor Bruto Pedido;Valor Pago;Status Pedido;Forma Pagamento;Parcelas;Entrega;Link Pedido
13/03/2026;2000015530844552;;Pote Quadrado Descartável Bolo No Pote 220ml Com Lacre 100un Transparente;1;R$ 108,29;R$ 108,29;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015530844552/status?orderId=2000015530844552
13/03/2026;2000015530893098;;Fonte Nova Para Impressora Térmica Bematech Mp-4200th;1;R$ 55,89;R$ 55,89;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015530893098/status?orderId=2000015530893098
13/03/2026;2000015535162534;2000012018095633;Guardanapo Grand Hotel Pequeno Scott Kimberly Clark C/ 200fl Branco;10;R$ 213,10;R$ 213,10;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012018095631/status?packId=2000012018095633&orderId=2000015535162534
17/03/2026;2000015587650058;2000012079154099;Rolo Acetato Transparente 7cm 142m Planeta Confeiteiro;1;R$ 158,63;R$ 158,63;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012079154097/status?packId=2000012079154099&orderId=2000015587650058
17/03/2026;2000015587644348;2000012079154097;Rolo Acetato Transparente 7cm 142m Planeta Confeiteiro;1;R$ 158,63;R$ 158,63;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012079154095/status?packId=2000012079154097&orderId=2000015587644348
17/03/2026;2000015589636716;;Rodo Vedador Para Porta Protege Contra Sujeira, Água Alumínio 90cm;1;R$ 19,00;R$ 19,00;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015589636716/status?orderId=2000015589636716
17/03/2026;2000015593800184;2000012086397137;Forma Alumínio Ballerine Coelho Correndo 20x18x5cm 1518 Capa;4;R$ 241,40;R$ 241,40;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012086397135/status?packId=2000012086397137&orderId=2000015593800184
17/03/2026;2000015593945454;2000012086564829;10 Caixas Vitrine M  Bolos Doces Confeitaria Cupcake Branco;20;R$ 976,00;R$ 976,00;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012086564827/status?packId=2000012086564829&orderId=2000015593945454
17/03/2026;2000015593955506;2000012086589917;Forma Ballerine Coelho Correndo Pascoa 20x18x5cm - 1 Unidade Cinza;5;R$ 190,00;R$ 190,00;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012086589915/status?packId=2000012086589917&orderId=2000015593955506
17/03/2026;2000015593956798;;Forma Ballerine Coelho Correndo Páscoa 20x18x5cm Alumínio Cinza;1;R$ 48,90;R$ 48,90;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015593956798/status?orderId=2000015593956798
17/03/2026;2000015594042948;;Forma Alumínio Ballerine Coelho Correndo 20x18x5cm 1518 Capa;1;R$ 60,35;R$ 60,35;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015594042948/status?orderId=2000015594042948
17/03/2026;2000015594339042;2000012087030153;Mesa Dobrável 2 Metros Áreas Internas E Externas;1;R$ 694,28;R$ 694,28;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012087030151/status?packId=2000012087030153&orderId=2000015594339042
17/03/2026;2000015594335620;2000012087030155;Mesa Dobrável 2 Metros Áreas Internas E Externas;2;R$ 1.388,56;R$ 0,00;cancelled;Saldo Mercado Pago;À vista;Não entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012087030153/status?packId=2000012087030155&orderId=2000015594335620
17/03/2026;2000015594489782;2000012087223331;Kit 06 Cadeiras Dobráveis Max Branca Com Estrutura Preta;1;R$ 829,70;R$ 829,70;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012087223329/status?packId=2000012087223331&orderId=2000015594489782
17/03/2026;2000015594489818;2000012087223333;Kit 06 Cadeiras Dobráveis Max Branca Com Estrutura Preta;1;R$ 829,70;R$ 829,70;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012087223331/status?packId=2000012087223333&orderId=2000015594489818
17/03/2026;2000015594491708;2000012087223329;Kit 06 Cadeiras Dobráveis Max Branca Com Estrutura Preta;1;R$ 829,70;R$ 829,70;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012087223327/status?packId=2000012087223329&orderId=2000015594491708
17/03/2026;2000015594499036;2000012087223325;Kit 06 Cadeiras Dobráveis Max Branca Com Estrutura Preta;1;R$ 829,70;R$ 829,70;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012087223323/status?packId=2000012087223325&orderId=2000015594499036
17/03/2026;2000015594489846;2000012087223327;Kit 06 Cadeiras Dobráveis Max Branca Com Estrutura Preta;1;R$ 829,70;R$ 829,70;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012087223325/status?packId=2000012087223327&orderId=2000015594489846
18/03/2026;2000015601804758;2000012095826285;Placa De Premiação 3d Placa Personalizada Aluno Mentorado;4;R$ 746,00;R$ 746,00;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012095826283/status?packId=2000012095826285&orderId=2000015601804758
18/03/2026;2000015603944404;2000012098348895;Peneira Grande Plástica 18cm Cozinha Suco Multiuso Reforçada;5;R$ 92,20;R$ 92,20;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012098348893/status?packId=2000012098348895&orderId=2000015603944404
18/03/2026;2000015605469130;2000012100146391;Dispensador De Fita Luxo Pequeno Compacto Cor Metalizada Max Cobre;3;R$ 61,50;R$ 61,50;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012100146389/status?packId=2000012100146391&orderId=2000015605469130
18/03/2026;2000015605529652;2000012100226069;Descascador Legumes E Frutas Tramontina Utilitá Inox Batata;3;R$ 83,43;R$ 83,43;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012100226067/status?packId=2000012100226069&orderId=2000015605529652
18/03/2026;2000015605546484;;Pedra Para Afiar Amolar Facas E Lâminas Com Base - Yazi;1;R$ 19,00;R$ 19,00;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015605546484/status?orderId=2000015605546484
18/03/2026;2000015606221564;;5000 Forminhas Caixetas Branca Papel 4 Pétalas;1;R$ 299,00;R$ 299,00;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015606221564/status?orderId=2000015606221564
18/03/2026;2000015606279106;;Panela Pressão Fechamento Externo Profissional 12l Nacional Alumínio Polido;1;R$ 349,00;R$ 349,00;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015606279106/status?orderId=2000015606279106
18/03/2026;2000015608583600;2000012103798627;Ralador Manual 4 Faces E Alça Aço Inox Para Legumes Queijos Frutas E Verduras Com Gourmet Cozinha,cabo Ergonômico Base... Prateado;2;R$ 50,00;R$ 25,00;partially_refunded;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012103798625/status?packId=2000012103798627&orderId=2000015608583600
19/03/2026;2000015622605554;2000012120206969;Placa De Homenagem Personalizada Acrílico,caixa Mdf Acrílico;2;R$ 119,80;R$ 119,80;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012120206967/status?packId=2000012120206969&orderId=2000015622605554
19/03/2026;2000015622687028;;Kit Cartuchos Hp 667 Xl Preto + Xl Color 2376 2776;1;R$ 269,90;R$ 269,90;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015622687028/status?orderId=2000015622687028
20/03/2026;2000015630061696;;Ralador 4 Faces Tramontina Grande Inox Queijo Legumes Frutas Branco;1;R$ 76,39;R$ 76,39;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015630061696/status?orderId=2000015630061696
20/03/2026;2000015631154418;;Kit Com 10 Formas Coelho A Comum Bwb Cód.217 Transparente;1;R$ 35,35;R$ 0,00;cancelled;Mastercard;À vista;Não entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015631154418/status?orderId=2000015631154418
20/03/2026;2000015637630178;2000012137551039;Copo Térmico De Cerveja Pint Hammertone Green Capacidade De 473ml Stanley Liso;2;R$ 182,18;R$ 182,18;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012137551037/status?packId=2000012137551039&orderId=2000015637630178
20/03/2026;2000015637644630;;Chuveiro Ducha Lorenzetti Loren Shower Eletrônica 5500w Cor Branco Cinza 127v 5.5 Kw;1;R$ 147,52;R$ 147,52;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015637644630/status?orderId=2000015637644630
20/03/2026;2000015637726412;;Bolsa Isotérmica Térmica Lancheira Marmita Sacola Para Academia Trabalho Escola E Passeios Alça Removivel Tche Amo Preto;1;R$ 27,54;R$ 27,54;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015637726412/status?orderId=2000015637726412
20/03/2026;2000015637744976;;Pipoqueira Elétrica Pop Cine Manteiga Vermelha Agratto Cor Vermelho 127v;1;R$ 108,00;R$ 108,00;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015637744976/status?orderId=2000015637744976
20/03/2026;2000015637801062;;Lorenzetti Ducha Advanced Multitemperaturas /5500w Branco 127v 5.5 Kw;1;R$ 179,90;R$ 0,00;cancelled;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015637801062/status?orderId=2000015637801062
21/03/2026;2000015643002034;;Frigideira Antiaderente Multiflon 22cm Indução Alumínio Baquelite Preto;1;R$ 107,27;R$ 107,27;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015643002034/status?orderId=2000015643002034
21/03/2026;2000015643784930;;Timer Digital Magnético Relógio Led Hrebos Premium Preto Lisa;1;R$ 44,90;R$ 44,90;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015643784930/status?orderId=2000015643784930
24/03/2026;2000015688531236;;Kit 2 Calculadoras Mesa Básica 12 Dígitos Preto Modelo 837;1;R$ 34,10;R$ 0,00;payment_required;Mastercard;À vista;Não entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015688531236/status?orderId=2000015688531236
24/03/2026;2000015688564510;;Calculadora De Mesa Visor Grande 12 Dígitos Preto Fbg 837-b;1;R$ 20,60;R$ 0,00;payment_required;Mastercard;À vista;Não entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015688564510/status?orderId=2000015688564510
25/03/2026;2000015695432260;2000012204815665;Mesa Dobrável 2 Metros Áreas Internas E Externas Branco (tampo) E Preto (pernas);1;R$ 694,28;R$ 694,28;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012204815663/status?packId=2000012204815665&orderId=2000015695432260
25/03/2026;2000015695428540;2000012204815663;Mesa Dobrável 2 Metros Áreas Internas E Externas Branco (tampo) E Preto (pernas);1;R$ 694,28;R$ 694,28;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012204815661/status?packId=2000012204815663&orderId=2000015695428540
25/03/2026;2000015699648230;;Chuveiro Ducha Advanced Multitemperatura - Lorenzetti Branco 127v 5500w;1;R$ 199,72;R$ 199,72;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015699648230/status?orderId=2000015699648230
25/03/2026;2000015699913178;2000012210084531;Acabamento Passa Fio Mesa Computador 59mm Kit 12 Peças;5;R$ 189,50;R$ 0,00;cancelled;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012210084529/status?packId=2000012210084531&orderId=2000015699913178
26/03/2026;2000015716988534;;Placa Aberto Fechado Acrilico Para Porta Com Ventosa Dourado Dourado-escuro;1;R$ 32,90;R$ 32,90;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015716988534/status?orderId=2000015716988534
26/03/2026;2000015717482714;;Placa Aberto Fechado Acrilico Para Porta Com Ventosa Dourado Dourado-escuro;1;R$ 32,90;R$ 0,00;cancelled;Mastercard;À vista;Não entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015717482714/status?orderId=2000015717482714
27/03/2026;2000015726335062;2000012239815085;5 Vela Estrelinha Palito Faísca Estrela Aniversário Festas;3;R$ 26,91;R$ 26,91;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012239815083/status?packId=2000012239815085&orderId=2000015726335062
28/03/2026;2000015738297060;;Spray Jato Pulverizador Borrifador Kit 5 Unidades 500ml;1;R$ 31,40;R$ 31,40;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015738297060/status?orderId=2000015738297060
28/03/2026;2000015739840742;;100un Pote Redondo 500ml C/ Lacre Freezer/microondas Sem Bpa Redondo;1;R$ 173,49;R$ 173,49;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015739840742/status?orderId=2000015739840742
28/03/2026;2000015739929068;;Micro Ondas 20 Litros 10 Níveis De Potência Cma20bb Consul Cor Branco 127v;1;R$ 507,35;R$ 507,35;paid;Mastercard;10x de R$ 50,74;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015739929068/status?orderId=2000015739929068
28/03/2026;2000015741599098;;Refil Coador Café Individual Filtro De Pano 10 Unidades;1;R$ 22,87;R$ 22,87;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015741599098/status?orderId=2000015741599098
30/03/2026;2000015762612794;2000012279634435;Friso Rodo Rodinho Vedador De Porta Em Aluminio 90cm;2;R$ 39,80;R$ 39,80;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012279634433/status?packId=2000012279634435&orderId=2000015762612794
30/03/2026;2000015762869642;2000012279926791;Kit 10 Formas Fundo Removivel Falso 25cm Redonda Confeitaria Prateado;2;R$ 493,24;R$ 493,24;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012279926789/status?packId=2000012279926791&orderId=2000015762869642
30/03/2026;2000015763018328;2000012280091049;Placa Porcionadora De Doces Brigadeiro Beijinho Mix Formas 15g Cor Branco;5;R$ 524,50;R$ 524,50;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012280091047/status?packId=2000012280091049&orderId=2000015763018328
30/03/2026;2000015763940974;;5000 Forminhas Caixetas Branca Papel 4 Pétalas;1;R$ 299,00;R$ 299,00;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015763940974/status?orderId=2000015763940974
30/03/2026;2000015764606572;;Acabamento Passa Fio Mesa Computador 59mm Kit 12 Peças;1;R$ 37,90;R$ 37,90;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015764606572/status?orderId=2000015764606572
30/03/2026;2000015766581070;2000012284032105;Conjunto 3 Espatulas Silicone Pão Duro Rechear Bolos Cozinha Vermelho;3;R$ 68,70;R$ 68,70;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012284032103/status?packId=2000012284032105&orderId=2000015766581070
31/03/2026;2000015781967712;;Espanador De Pó 52 Cm Cabo Penas Naturais Espanadores Para Limpeza De Casa Escritorio Sala Chrome Technology Espanador Penas;1;R$ 19,99;R$ 19,99;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015781967712/status?orderId=2000015781967712
31/03/2026;2000015782860786;2000012301954747;Refil Neutralizador Bloqueador De Odores 500 Ml Freeco;4;R$ 239,60;R$ 239,60;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012301954745/status?packId=2000012301954747&orderId=2000015782860786
31/03/2026;2000015784110930;2000012303328105;12 Potes De Vidro Pianezza 210ml + Tampas Metálicas E Lacres;3;R$ 213,03;R$ 213,03;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012303328103/status?packId=2000012303328105&orderId=2000015784110930
01/04/2026;2000015793503812;2000012313748793;Guardanapo Scott Grand Hotel 50 Folhas Duplas 23x21 Kit 9;5;R$ 204,50;R$ 204,50;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012313748791/status?packId=2000012313748793&orderId=2000015793503812
01/04/2026;2000015793751150;;Vassoura E Rodo 2em1 Retrátil Com Cabo Extensível Limpeza 1m;1;R$ 43,84;R$ 43,84;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015793751150/status?orderId=2000015793751150
01/04/2026;2000015796534238;;Sikadur 32 Gel - Lata 1kg - Compound Gel Da Sika;1;R$ 129,90;R$ 129,90;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015796534238/status?orderId=2000015796534238
01/04/2026;2000015797343502;2000012317992889;Rolo Acetato Lateral De Bolo/torta 7cm X 200m - Melhor Preço;2;R$ 296,98;R$ 296,98;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012317992887/status?packId=2000012317992889&orderId=2000015797343502
02/04/2026;2000015809809786;;Lixeira Redonda Metal C/ Pedal Branca 5l Tampa Em Bambu Lyor Branco;1;R$ 78,90;R$ 0,00;cancelled;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015809809786/status?orderId=2000015809809786
04/04/2026;2000015832051906;2000012354012283;Termo Termolar Magic Pump 1l Branco;1;R$ 54,15;R$ 54,15;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012354012281/status?packId=2000012354012283&orderId=2000015832051906
04/04/2026;2000015832051908;2000012354012283;Garrafa Térmica Termolar Magic Pump 1l Preta Preto;1;R$ 58,90;R$ 58,90;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012354012281/status?packId=2000012354012283&orderId=2000015832051908
04/04/2026;2000015835288816;;Conjunto 12 Taças De Vidro Vinho Tinto Windsor 250ml Nadir Transparente;1;R$ 108,90;R$ 108,90;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015835288816/status?orderId=2000015835288816
04/04/2026;2000015835453570;;Lixeira 3l C/ Pedal Tampa Bambu Cozinha Banheiro Branca Branco;1;R$ 64,80;R$ 0,00;cancelled;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015835453570/status?orderId=2000015835453570
06/04/2026;2000015859666420;2000012382647471;Fone De Ouvido Bluetooth Sem Fio Bateria De Longa Duração Pro 4 Branco Conecta Rápido Fast Plug;2;R$ 48,48;R$ 48,48;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012382647469/status?packId=2000012382647471&orderId=2000015859666420
06/04/2026;2000015859821766;2000012382814787;Caixa De Som Bluetooth 5.0 Portátil 10w Rms Com Rádio Fm E Entrada Usb Preta Preto 5v;2;R$ 67,88;R$ 67,88;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012382814785/status?packId=2000012382814787&orderId=2000015859821766
06/04/2026;2000015860567482;2000012383591949;Espátula Rita Lobo Multiuso Em Inox Para Cozinha E Alimentos;3;R$ 71,04;R$ 71,04;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012383591947/status?packId=2000012383591949&orderId=2000015860567482
06/04/2026;2000015860638640;2000012383659607;4 Espátulas Silicone Cozinha Reforçada Pão Duro Premium 27cm;2;R$ 102,00;R$ 102,00;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012383659605/status?packId=2000012383659607&orderId=2000015860638640
08/04/2026;2000015894451154;;Fita Antiderrapante Safety Walk Ug Preto 50mm X 20m 3m;1;R$ 128,64;R$ 128,64;paid;Mastercard;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015894451154/status?orderId=2000015894451154
08/04/2026;2000015894540158;2000012418981187;Vedante De Porta Em Alumínio 100cm Veda Porta Prateado Veda Porta;2;R$ 39,80;R$ 39,80;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012418981185/status?packId=2000012418981187&orderId=2000015894540158
09/04/2026;2000015909845870;2000012434999155;Toalha De Mesa Plastico Transparente Impermeável 1.40 X 1.40 Transparente;1;R$ 19,00;R$ 19,00;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012434999153/status?packId=2000012434999155&orderId=2000015909845870
09/04/2026;2000015909839968;2000012434999153;Toalha De Mesa Plastico Transparente Impermeável 2.20 X 1.40 Transparente;3;R$ 74,94;R$ 74,94;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012434999151/status?packId=2000012434999153&orderId=2000015909839968
09/04/2026;2000015911657540;2000012436885579;Kit 02 Maçaricos Culinários Gourmet Para Cozinha Restaurantes Reparas De Solda Marca Kururuá Azul;3;R$ 110,28;R$ 110,28;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012436885577/status?packId=2000012436885579&orderId=2000015911657540
09/04/2026;2000015911810560;;5000 Forminhas Caixetas Branca Papel 4 Pétalas;1;R$ 299,00;R$ 299,00;paid;Mastercard;À vista;Não entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015911810560/status?orderId=2000015911810560
10/04/2026;2000015922675678;2000012448376117;Regispel Etiqueta Lacre Segurança Delivery Alimentos Ifood 1000 Unid Cor Vermelho;6;R$ 159,42;R$ 159,42;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012448376115/status?packId=2000012448376117&orderId=2000015922675678
10/04/2026;2000015922730070;;Placa De Premiação 3d Placa Personalizada Aluno Mentorado;1;R$ 177,17;R$ 177,17;paid;Mastercard;À vista;Não entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015922730070/status?orderId=2000015922730070
10/04/2026;2000015923113418;2000012448820273;Rolo Acetato Lateral De Bolo/torta 7cm X 200m - Melhor Preço;3;R$ 445,47;R$ 0,00;cancelled;Saldo Mercado Pago;À vista;Não entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012448820271/status?packId=2000012448820273&orderId=2000015923113418
10/04/2026;2000015926658336;2000012452516711;Rolo Acetato Lateral De Bolo/torta 7cm X 200m - Melhor Preço;1;R$ 148,49;R$ 148,49;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012452516709/status?packId=2000012452516711&orderId=2000015926658336
10/04/2026;2000015926655282;2000012452516707;Rolo Acetato Lateral De Bolo/torta 7cm X 200m - Melhor Preço;1;R$ 148,49;R$ 148,49;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012452516705/status?packId=2000012452516707&orderId=2000015926655282
10/04/2026;2000015926655294;2000012452516709;Rolo Acetato Lateral De Bolo/torta 7cm X 200m - Melhor Preço;1;R$ 148,49;R$ 148,49;paid;Saldo Mercado Pago;À vista;Entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000012452516707/status?packId=2000012452516709&orderId=2000015926655294
11/04/2026;2000015936107340;;Granulado Monalisa Flakes Large Dark 1kg Callebaut;1;R$ 265,19;R$ 265,19;paid;Mastercard;À vista;Não entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015936107340/status?orderId=2000015936107340
13/04/2026;2000015960764224;;500unid Celofone Folha 18x18 Transparente P Brownie E Doces;1;R$ 36,00;R$ 36,00;paid;Mastercard;À vista;Não entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015960764224/status?orderId=2000015960764224
13/04/2026;2000015964629684;;5000 Forminhas Caixetas Branca Papel 4 Pétalas;1;R$ 299,00;R$ 299,00;paid;Mastercard;À vista;Não entregue;https://myaccount.mercadolivre.com.br/my_purchases/2000015964629684/status?orderId=2000015964629684
